wof:id,sg:id
370978005,SG_76Qljmw2vrP0xHgirDI5EB_46.068771_-97.799240@1294189808
370982941,SG_7jvgGuLCYY9Z9LDM2dBeXJ_45.973982_-102.350122@1294189808
370982759,SG_6kTSgXWDlZPUifcowyKOsV_46.140807_-98.093509@1294189808
386930339,SG_2SJ4Xs4XewhHaMYxoVC42Y_46.137674_-98.083634@1294189808
370995213,SG_7Jw2HI14vRYCzGResvc1Zz_46.037420_-97.798311@1294189808
386951731,SG_2vLLe76nwu4iZYYWnDFsRC_46.136700_-98.091948@1294189808
370995969,SG_0D8kKaiX5FPIhCmn1eFMxN_46.075475_-98.090791@1294189808
386938991,SG_5see7c4gAmqVRlRb4wcSsV_46.143497_-97.840745@1294189808
386958107,SG_2JxQGWs4xz5kLU4lSKjLn3_45.944587_-98.382205@1294189808
386968981,SG_3vu9W9bpNg2VvmasQtbyf6_46.137791_-98.090616@1294189808
386987703,SG_2u1HL8FWDlasfRO5tljsaA_46.136693_-98.089003@1294189808
386981065,SG_3zDh3wqGz55DcpOerK5tb6_46.140807_-98.093509@1294189808
386982365,SG_5QPzJGjMtD0WNFkBJ3Kvlt_46.138798_-98.094851@1294189808
386989247,SG_7UU5VLUNCmVoGQugg0DxdH_46.148342_-98.080061@1294189808
371023243,SG_3D2IO5Csu3wmUdacrsnATU_45.996939_-98.736441@1294189808
371008383,SG_5AkGoEg7FtEsRbS1mWBZCR_46.134607_-98.085317@1294189808
371001423,SG_690KNTPhXeF4uMc2gSZPLy_46.142046_-98.088871@1294189808
185838027,SG_4WmnsEPFL2dgW1xRT7VcZH_48.928573_-104.012641@1294163950
371024129,SG_4lnyeehRKIodq3Fi0tA8FY_46.131349_-98.090658@1294189808
371064345,SG_6uqa8kIsK2zD8mOPTaHS7y_46.139156_-98.090571@1294189808
185993033,SG_3hHZHhGn3Due2akcWYOgJL_48.778749_-104.047993@1294163950
371035631,SG_4GVfsvZBCmROsjHR2xx61I_46.138945_-98.093417@1294189808
371065493,SG_4JLs2S2MKlG5TxLqiQozcz_46.093332_-97.861960@1294189808
371103159,SG_3wYBNlP4uBQnEGTieWcYMM_46.134622_-98.090630@1294189808
371080731,SG_6z5UUJB3uq71De4jV7ZYUZ_46.139251_-98.085950@1294189808
371082481,SG_3wH8QRwXufzozHG9FnHk6f_46.025659_-98.735030@1294189808
371066277,SG_6xxzk4ZNeG7Q2WWQmZB7i2_46.140790_-98.078759@1294189808
371112995,SG_4d5Q5a6fTa1pBlyrgxxsOR_46.127561_-98.090543@1294189808
386983739,SG_3KA3TAV41eP5T7zz69db7I_46.141879_-98.080975@1294189808
403723821,SG_08c8A4RDwUjfrjVFILliD6_46.066297_-98.072490@1294189808
403738789,SG_2Ac5VC5WeL4mcpc74Fedri_46.134602_-98.090480@1294189808
371126945,SG_7FkV3RU8fQFdyNfY5ae8gi_46.135607_-98.095044@1294189808
371122297,SG_6Oei3yIDroucG5V7SA9Koh_46.066484_-98.088153@1294189808
403766371,SG_6vRSIM6BjHQxBjRgBY8s54_46.135651_-98.097918@1294189808
403751641,SG_6oOZOvaWTle9xUUOnMB2iT_46.138944_-98.093288@1294189808
403773355,SG_7aOqvhPaLzwPKZLAQpFAbU_46.129289_-98.093119@1294189808
371139603,SG_6ogZmZJxieT9BdTphsGQLo_46.135598_-98.090641@1294189808
403795563,SG_6uLGi2XSDlhn1jfSU6pid2_46.132950_-98.090684@1294189808
371141197,SG_5UCAJtXnvQ9VJgXAI8skRn_46.133643_-98.094967@1294189808
403795937,SG_5Mq8vRPq4yaMvtFgkeulEy_46.130507_-98.090664@1294189808
403796235,SG_4b5PeWFpj2vE0Vd6tIQjhD_46.138776_-98.090328@1294189808
371181979,SG_1MLw8pKBTFy0kTFTYuLDDn_46.140700_-98.093359@1294189808
371118803,SG_5pocbMymeYIPCyYMz7Yrr9_46.133480_-98.090624@1294189808
403800415,SG_6zhWRHaSF6kS8GxXnuyOD2_46.145547_-98.087734@1294189808
403810375,SG_3NYaC2rU1PTRFo9Y5wFEuO_46.138880_-98.098211@1294189808
371166747,SG_4w2RcLaSKE6qwCddlWBVb6_46.131475_-98.090508@1294189808
403811121,SG_4MStxT6yazz4uxgsEI9XTM_46.209320_-98.090273@1294189808
371182469,SG_6Hhuoa1I4CHsORcTMBjjxx_46.124258_-97.788584@1294189808
403824081,SG_3QvUTQnelD1unfWtDQcukY_46.138770_-98.088977@1294189808
403837977,SG_2WlBcCkE3GdL4LWH80Ea8g_46.141999_-98.093446@1294189808
403713581,SG_1NpzrV1uciOzKIa6Jmamvv_46.108817_-97.635712@1294189808
387020263,SG_6hxfC83lLCBd8oRkIBjfII_46.135566_-98.088952@1294189808
387045305,SG_1Qk2EulVy3l8WOCAHtV564_46.140807_-98.093509@1294189808
387052265,SG_1jc0vJuFmbuVoGtcf7wOo6_46.172999_-98.090368@1294189808
387061149,SG_41nE1U5AQDMuSeEnMobvVP_46.123885_-98.090730@1294189808
387050477,SG_2xzXcjl5SpTQMERoPMuBcN_46.140835_-98.088919@1294189808
387034457,SG_6DXiowuq3wRhiCp9Rk9xdq_45.964509_-97.778372@1294189808
387076127,SG_3CKyGbii9NI6d4Av0hXUwC_46.150609_-98.079889@1294189808
387094137,SG_13nrJGJsPBDgaRVOEfTPjJ_46.139762_-98.093363@1294189808
387085569,SG_1BffsA5v86J9bd8dGAHyXj_46.137594_-98.087471@1294189808
387071045,SG_57Jr6YCo6cx27ZFU1qQmQx_46.140931_-98.092004@1294189808
387127463,SG_3dGU6Wtm3CiS7qkQcWi5t5_46.138948_-98.094809@1294189808
387035759,SG_6M8wENMpum8RajaGO2pPWg_46.163775_-97.986827@1294189808
371138505,SG_7XCKlrZ7vKVSqxyGSc2Pol_46.133607_-98.090623@1294189808
387121579,SG_2kzo1JXW3OG8LGg3cGtDvt_46.140807_-98.093509@1294189808
387043055,SG_4z25JGA8zsvwP2IfYH2lYb_46.140912_-98.093359@1294189808
387207107,SG_3aHaiJFaZMy0GIbea6iPyU_46.143460_-98.080060@1294189808
387133303,SG_0K3esZ9SIWdHTYmA8Z9tEO_46.139079_-98.135256@1294189808
387056675,SG_2bTRHOW8MS9ynN0L07Uv0t_46.138945_-98.093417@1294189808
387178001,SG_2CPAGui00eIA7GiwEKE32L_46.138935_-98.091780@1294189808
387173679,SG_79ufThJp9MWBoYvKVfr1Kb_46.138875_-98.095993@1294189808
387208831,SG_0k55PGKwTjNSAnc3BGJRnc_46.139849_-98.093362@1294189808
387189563,SG_5OU0KICuaO3wZMhhC5UdyD_46.141923_-98.094290@1294189808
387115367,SG_2XScBAYy5gUUwb4ZeQzVxF_46.133621_-98.097728@1294189808
387126107,SG_5iAC0IaEQ7Mo4KCv5SP8hp_46.138796_-98.091874@1294189808
387234759,SG_4s6r70UMcMOzbiakNqo0bK_46.026078_-98.091241@1294189808
387214481,SG_1njEGFcY1dGz4GHd0YNmOm_46.132417_-98.090641@1294189808
387253365,SG_2UuwqS5vX6dBBWZPUSjcsd_46.138793_-98.093204@1294189808
387179113,SG_6ipu6u5hK7gLvHjEMGHwIo_46.141373_-98.081474@1294189808
387310047,SG_6SnSBrdj7VUAS3jkLwjv6M_46.138798_-98.094830@1294189808
387303725,SG_2KUe3ZkpZUNk07HgWUgvhO_46.138945_-98.093417@1294189808
387183781,SG_7Uo4CjiJvfyQ1JLzaIhwJy_46.139871_-98.093362@1294189808
387063643,SG_5rWXmzU0sPz8rBbX9Ngkls_46.038380_-98.070280@1294189808
386988371,SG_0FEsh2tXly2eSAvXDaEq0i_46.105008_-98.090733@1294189808
387226447,SG_1ZNTMkz98iSD0fmuXLeaWG_46.139725_-98.093514@1294189808
387282991,SG_377m9d9u3VdC5vxXSGhU38_46.138794_-98.093375@1294189808
387380757,SG_5zJK0nqdkxVmsJNg7b1CXH_46.003484_-97.799709@1294189808
387407831,SG_2xGtQUf0kAE0KkjFoibguI_46.140786_-98.081644@1294189808
387390637,SG_62qPnxXXgpP8UQjr9NdKWG_46.106717_-97.781469@1294189808
387397423,SG_2aFcjB6KdU5KgYi4CY9NE7_46.138668_-98.092023@1294189808
387436963,SG_1XnJBc34mQMfHrjYF2Plqy_46.139052_-98.123407@1294189808
387234391,SG_2krAjwL3Qg1Q8oVOARoJa4_46.138798_-98.094830@1294189808
387514847,SG_53UKjPbPzyEbWzGvJyRngC_46.132723_-98.094921@1294189808
387440103,SG_4W2ergUElAKSWnwhVAtb37_46.138794_-98.093290@1294189808
370982239,SG_00KTteoKMIJ3U0KMCfmBLV_46.109839_-97.951671@1294189808
387269069,SG_3ruGA9wJIK7cvKLeRoX9s4_46.139188_-98.081614@1294189808
387660043,SG_7JEVzB1XyPqJs1RnFWkkam_45.994740_-97.778179@1294189808
387512779,SG_7FZ6Y8K9eK0bsegwRa0rdk_46.138797_-98.094746@1294189808
387694861,SG_6ROg3gvi7ZzoayJNPnuGhV_46.138949_-98.095435@1294189808
387213175,SG_2bQOxK23M3KRk9CQaE5JKC_46.139978_-98.087732@1294189808
387698133,SG_33JToZ5q03hMS1lLfj6pOF_46.037420_-97.798311@1294189808
387704027,SG_4HW7Rf6J7iW28P1NKrnQIa_46.141718_-98.078764@1294189808
387723491,SG_76JU1EH5tZPQQeyrPyFnFz_46.127561_-98.090543@1294189808
387229987,SG_6Q7sWmjoR0P940uVlyRF4F_46.073671_-98.090891@1294189808
387613469,SG_6Ifatf4kugURpagcDJSDYS_46.138947_-98.094766@1294189808
387518219,SG_1Rx6KNYxI8jsj5cSqOCS5i_46.138798_-98.094915@1294189808
387594797,SG_2ZUBxHyTSSEerieQeOZ8YF_46.142028_-98.079400@1294189808
387413357,SG_1Mvg5qwpjbnsKwvavSFNjm_46.138770_-98.088977@1294189808
387587769,SG_0bjgSy1WQJlhlLuguMMhLq_46.138794_-98.093311@1294189808
387587579,SG_2XSaNQ365sZZUHYqYHMBF3_46.137874_-98.085840@1294189808
387357049,SG_0zuigSVkLpR0gYi5plHik8_46.141999_-98.093446@1294189808
387584135,SG_0IleJ5uTY3Rr5a58tSjV2u_46.129422_-98.093266@1294189808
387762941,SG_49JakeiUC4q3idflzec6ZX_46.138794_-98.093290@1294189808
387710841,SG_42175STYBPlQCtSk9yrDT3_46.132252_-98.093557@1294189808
387547603,SG_4NItQwtBEjWSAELGLfn86z_46.141999_-98.093446@1294189808
387127729,SG_0sZ3Pv8M6vYySXYwnrRUxm_46.134757_-98.085338@1294189808
387738885,SG_0djPErAXmqFeMz1HuSoyju_46.134757_-98.087501@1294189808
387808037,SG_3BZ1HhXOrZMkoJMB5XwD0J_46.138770_-98.088977@1294189808
387697781,SG_4emJaRQOnmjthAk2vKOcT2_46.138785_-98.091887@1294189808
387650271,SG_54LTUDhEbUuEYADss3sGBc_46.133607_-98.090623@1294189808
387790991,SG_5ISaQprHXYfbQ1UZlc3zZU_46.130359_-98.093408@1294189808
387641497,SG_1MuEgK0SZbpiJuIhTScZFG_46.124275_-97.721065@1294189808
387567039,SG_0JCbsnj3BEb5feR6q81gqB_46.225982_-98.136490@1294189808
387506471,SG_6JHBmRmcghBJiF23UhFEkH_46.131867_-98.131645@1294189808
387902643,SG_4eW81YnUJtGBMFElPTSp9C_46.138770_-98.088977@1294189808
387755827,SG_1roGRvima6rGjhLqvo4PVm_46.138797_-98.094724@1294189808
387827423,SG_0FHhqcgxk4io1i6lC9XD9q_46.138770_-98.084473@1294189808
387858917,SG_5dPUEwcwX4q839Bg9ZpJ8q_46.106567_-97.783485@1294189808
387779663,SG_4Yei3IfNSItzDmVsyPJcjt_46.141790_-98.093519@1294189808
403816085,SG_4XbU7FR7xtUEton4R048S0_46.129378_-98.090521@1294189808
371161867,SG_0zxGoKOOFNZrdjOVxTYFWq_46.106716_-97.780020@1294189808
387804017,SG_6YC6ns9MeDHbfZ0kEI0t2E_46.138948_-98.094872@1294189808
387873929,SG_6rVW9n33HFefK7riMHxZNe_46.138794_-98.093354@1294189808
387840899,SG_7fRbmpgJTdfnLTZWBf1wy9_46.036640_-98.091054@1294189808
387682401,SG_74YiINVBa4ipjrxkUMmkxS_46.137742_-98.094898@1294189808
387321089,SG_1CzXRpEQUGuDcYSAOHYVBu_46.140807_-98.093509@1294189808
387567085,SG_1tWH8196XjZvhwMMtdotLo_46.138793_-98.093247@1294189808
387807305,SG_0X6ZZinHOZRC3KyqWnvFWq_46.145416_-98.087834@1294189808
387890567,SG_6TPtRAwl640nF4NwGmFyio_45.981897_-98.298158@1294189808
387754887,SG_3H0ole7ovWFmVpwFKFsLlH_46.133447_-98.090474@1294189808
387797191,SG_64ApWceP25aoHZDl7Fw07k_46.138962_-98.100941@1294189808
387690015,SG_3FUkvzhNFEpKwj1vRfL7b3_46.136768_-98.089025@1294189808
387959847,SG_4ARbPqlBdKisQKUuU8VHYZ_46.155094_-98.215051@1294189808
387899615,SG_70IYOKTzKR0gNRhAPSdVFu_46.135715_-98.083058@1294189808
387300265,SG_3JHz0FQqHS1XntCWsVSipJ_46.127716_-98.090542@1294189808
387419303,SG_5tD6J0iQffDBIiF35bee6o_46.138957_-98.098645@1294189808
387951807,SG_6RnxitYSfS7KU72rpMvXiS_46.138897_-98.079991@1294189808
387383599,SG_4v3nRDjJlE1XwiqC2eakM1_46.127716_-98.090542@1294189808
387728153,SG_7h97ZnZPLK7doKpwIxC0T9_46.008548_-98.124951@1294189808
387442437,SG_5NTLTsYF8amsXECtELgX2U_46.138711_-98.092024@1294189808
387762537,SG_5E1UokBAyTbUGzak5uxmtm_46.138945_-98.093417@1294189808
